[INFO] [1676144757.011345]: GPS transform node started
[INFO] [1676144757.298180]: Origin set to: -83.707881, 42.294642
[INFO] [1676144758.284781]: X: 0.000000, Y: 0.000000
[INFO] [1676144759.304358]: X: 0.000000, Y: 0.000000
[INFO] [1676144760.316276]: X: 0.000000, Y: 0.000000
[INFO] [1676144761.329889]: X: 0.000000, Y: 0.000000
[INFO] [1676144762.298805]: X: 0.000000, Y: 0.000000
[INFO] [1676144763.312496]: X: 0.000000, Y: 0.000000
[INFO] [1676144764.327276]: X: 0.000000, Y: 0.000000
[INFO] [1676144765.292121]: X: 0.000000, Y: 0.000000
[INFO] [1676144766.304765]: X: 0.000000, Y: 0.000000
[INFO] [1676144767.323375]: X: 0.000000, Y: 0.000000
[INFO] [1676144768.285045]: X: 0.000000, Y: 0.000000
[INFO] [1676144769.302277]: X: 0.000000, Y: 0.000000
[INFO] [1676144770.323060]: X: 0.000000, Y: 0.000000
[INFO] [1676144771.280751]: X: 0.000000, Y: 0.000000
[INFO] [1676144772.296148]: X: 0.000000, Y: 0.000000
[INFO] [1676144773.308726]: X: 0.000000, Y: 0.000000
[INFO] [1676144774.324614]: X: 0.000000, Y: 0.000000
[INFO] [1676144775.290297]: X: 0.000000, Y: 0.000000
[INFO] [1676144776.308316]: X: 0.000000, Y: 0.000000
[INFO] [1676144777.291683]: X: 0.000000, Y: 0.000000
[INFO] [1676144778.301373]: X: 0.000000, Y: 0.000000
[INFO] [1676144779.321120]: X: 0.000000, Y: 0.000000
[INFO] [1676144780.295090]: X: 0.000000, Y: 0.000000
[INFO] [1676144781.321561]: X: 0.000000, Y: 0.000000
[INFO] [1676144782.339332]: X: 0.000000, Y: 0.000000
[INFO] [1676144783.309283]: X: 0.000000, Y: 0.000000
[INFO] [1676144784.343545]: X: 0.000000, Y: 0.000000
[INFO] [1676144785.313571]: X: 0.000000, Y: 0.000000
[INFO] [1676144786.343962]: X: 0.135884, Y: 0.024949
[INFO] [1676144787.313048]: X: 0.135884, Y: 0.024949
[INFO] [1676144788.290670]: X: 0.135884, Y: 0.024949
[INFO] [1676144789.309528]: X: 0.135884, Y: 0.024949
[INFO] [1676144790.337331]: X: 0.135884, Y: 0.024949
[INFO] [1676144791.303874]: X: 0.135884, Y: 0.024949
[INFO] [1676144792.330956]: X: 0.135884, Y: 0.024949
[INFO] [1676144793.301791]: X: 0.135884, Y: 0.024949
[INFO] [1676144794.328943]: X: 0.135884, Y: 0.024949
[INFO] [1676144795.301947]: X: 0.135884, Y: 0.024949
[INFO] [1676144796.320214]: X: 0.135884, Y: 0.024949
[INFO] [1676144797.290566]: X: 0.135884, Y: 0.024949
[INFO] [1676144798.294335]: X: 0.135884, Y: 0.024949
[INFO] [1676144799.314152]: X: 0.135884, Y: 0.024949
[INFO] [1676144800.332921]: X: 0.135884, Y: 0.024949
[INFO] [1676144801.300527]: X: 0.135884, Y: 0.024949
[INFO] [1676144802.318544]: X: 0.135884, Y: 0.024949
[INFO] [1676144803.296737]: X: 0.135884, Y: 0.024949
[INFO] [1676144804.316240]: X: 0.135884, Y: 0.024949
[INFO] [1676144805.294903]: X: 0.043373, Y: 0.373574
[INFO] [1676144806.314298]: X: 0.043373, Y: 0.373574
[INFO] [1676144807.334408]: X: 0.043373, Y: 0.373574
[INFO] [1676144808.292125]: X: 0.043373, Y: 0.373574
[INFO] [1676144809.314078]: X: 0.043373, Y: 0.373574
[INFO] [1676144810.333053]: X: 0.043373, Y: 0.373574
[INFO] [1676144811.300175]: X: 0.043373, Y: 0.373574
[INFO] [1676144812.320206]: X: 0.043373, Y: 0.373574
[INFO] [1676144813.290337]: X: 0.043373, Y: 0.373574
[INFO] [1676144814.313862]: X: 0.043373, Y: 0.373574
[INFO] [1676144815.295643]: X: 0.043373, Y: 0.373574
[INFO] [1676144816.314323]: X: 0.043373, Y: 0.373574
[INFO] [1676144817.334122]: X: 0.043373, Y: 0.373574
